"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"H1"	"H2"	"H3"	"H4"	"H5"	"H6"	"H7"	"H8"
"SM (OH) C16:1"	0.295721985653861	2.99146378573876	0.262377964596043	0.29051773915143	0.161907987339809	0.384071566526529	0.188607076513916	0.350901584581252	0.238635149565829	0.145136030898918	0.196087239703527	0.2792325660219	0.287673994976149	0.225115006692126	0.20518621358629	0.262692164257054
"SM (OH) C22:1"	0.461203718558612	3.33853969458138	1.01392496203666	1.33616798411191	0.348069397884367	0.536549416907848	1.49783832929093	0.251509771331986	0.384144387105969	0.479559506627168	0.821812781033887	0.38833668122251	2.02533556847631	1.63220970176551	2.11568612517894	0.290638139178017
"SM (OH) C22:2"	0.307979891794954	3.33853969458138	0.60015189603003	0.978361209789376	0.266787655252236	0.546618708914161	0.564524960974641	0.188480816588548	0.225830336662297	0.279938752154547	0.52130510067523	0.229303564150435	0.896768357416034	0.69045340978726	0.654591493729011	0.183046135732309
"SM (OH) C24:1"	0.0796763899171024	1.22302939306446	0.258155790453119	0.2520668619108	0.0707937758408882	0.140970088088389	0.412861538623245	0.0484838113411057	0.100110355427616	0.0765604305389113	0.169782853889639	0.0980087814513954	0.420999827263172	0.311736441034511	0.461009641836548	0.0894271197470821
"SM C16:0"	5.37968855767205	61.6638198043719	10.1941378842247	16.0222669301861	6.88338370467747	21.5784927695298	9.46340867415699	3.79446428508328	3.13252286576413	8.12620864266077	10.2834206480293	3.51537157620948	16.4311640861281	11.7346862884413	13.5565318133193	3.46669818894548
"SM C16:1"	0.664991408154278	4.09880120918902	1.25519205591808	2.04110073352347	0.951127488380821	2.86399434065288	1.20617790169209	0.170905434977398	0.149001459241103	0.850619261999806	1.17253792521906	0.159033117072076	2.07512529837603	1.36025868696965	1.61458868840008	0.188635330716501
"SM C18:0"	61.291062943731	1021.41134487536	29.4955053947382	24.4600983246577	20.3866409484024	9.78303641927687	13.2225875187642	85.4533235363405	69.8455980931674	10.0519618034555	21.2834365338369	84.1414634871687	14.550218734361	15.2599772209801	11.1829123759458	83.9790519362404
"SM C18:1"	5.70145859387573	123.476386426819	3.15517042023426	2.64990628983345	2.27523329577521	1.46867816263515	0.992293588119605	9.81857784421566	7.20678151688804	1.26864860666012	2.55949644995132	7.4357228342653	2.06406091395387	1.84876328762147	1.50909449118348	8.34327081265355
"SM C24:0"	2.28456725704615	29.6006167970062	4.3856325990295	4.78606613653514	1.08878205251588	1.59814048843061	5.83385668626033	2.24904279858554	2.78330069566779	1.45652696381082	3.04572903620803	2.64623709918768	7.08175924940324	5.74169170312513	7.17413288171497	2.18118334258117
"SM C24:1"	4.06196364750459	60.6721743505358	8.32431790664367	12.177179206123	2.78652167684829	4.40315754733223	7.97269982198515	5.0974667148755	5.58871879544169	3.27894702817264	7.07109716833328	5.62348498856025	11.0096157192699	8.61228574819252	8.59830454413909	4.34699639895582
