ID.mirna	logFC
rno-miR-6324	-2.23333818000284
rno-miR-1912-3p	1.63512047696284
novel_229	1.62662205337949
rno-miR-1298	1.5331357335961
rno-miR-448-3p	1.48299425476073
rno-miR-204-5p	0.945139002303536
rno-miR-10b-5p	0.897066750105908
rno-miR-483-5p	0.789956207714682
rno-miR-204-3p	0.733553762579984
rno-miR-200a-3p	-0.710504423709326
rno-miR-34b-5p	0.683791247422219
rno-miR-224-5p	0.656406539076783
rno-miR-152-5p	0.649833901352706
rno-miR-200b-3p	-0.64462271039601
rno-miR-34c-5p	0.643641901800633
rno-miR-34c-3p	0.581057113855561
rno-miR-375-3p	0.575564211556161
rno-miR-152-3p	0.573623400323202
rno-miR-483-3p	0.559520541063214
rno-miR-34b-3p	0.547535387498879
rno-miR-214-3p	0.540346513211522
rno-miR-3552	0.53288599230832
rno-miR-150-5p	-0.510383244140776
rno-miR-448-5p	0.492049383041185
rno-miR-143-3p	0.486328894876813
rno-miR-183-5p	-0.475073521927557
rno-miR-3553	-0.475073521927557
rno-miR-143-5p	0.47409061108098
rno-miR-122-5p	0.461520121012976
rno-miR-122b	0.460728242978701
rno-miR-764-5p	0.392534371528625
rno-miR-223-3p	0.387489503423548
rno-miR-155-5p	0.361350770109092
rno-miR-27a-5p	0.338920786844462
rno-miR-98-3p	-0.338029587473549
rno-miR-216b-5p	-0.334111326599757
rno-miR-653-5p	-0.328707258933684
rno-miR-449a-5p	0.32753763343979
rno-miR-32-3p	-0.325883045853345
rno-miR-217-5p	-0.32453915007187
novel_965	0.310527747527112
rno-miR-339-3p	0.301724177687491
rno-miR-199a-3p	0.296179230408852
rno-miR-493-5p	0.295132544706975
rno-miR-199a-5p	0.282918704972337
rno-miR-6315	0.276522208562665
rno-miR-451-5p	0.269661621429499
novel_637	-0.268320960637948
rno-miR-431	-0.267893542810931
rno-miR-96-5p	-0.265858377842944
rno-miR-3579	0.265092208909875
rno-miR-1b	0.264429542283104
rno-miR-380-5p	0.264320639085364
rno-miR-292-5p	0.26401127558348
rno-miR-148a-3p	0.256805505650675
rno-miR-363-3p	0.247115774438427
rno-miR-764-3p	0.245354684353743
rno-miR-93-5p	-0.23844148922006
rno-miR-293-5p	-0.235274198747756
rno-miR-378a-3p	0.234947293694688
rno-miR-3557-5p	0.234942642664024
rno-miR-652-5p	-0.2321991331252
rno-miR-503-5p	-0.231878722945539
rno-miR-145-3p	0.23057925164866
rno-miR-19b-3p	-0.229680157653283
rno-miR-140-3p	0.226872501636139
rno-miR-20a-5p	-0.224673325489803
rno-miR-3594-5p	0.223432757937019
rno-miR-153-5p	0.221404716582805
rno-miR-3559-5p	0.219975302418799
rno-miR-211-5p	-0.218630673554517
rno-miR-144-5p	0.218316480101953
novel_232	-0.216096251580384
rno-miR-505-5p	0.214357772845187
rno-miR-3084a-3p	-0.213342811585294
novel_211	0.208603531302352
rno-miR-182	0.206261737227445
rno-miR-219a-1-3p	0.204153683940709
rno-miR-3084a-1-5p	-0.203308277328243
rno-miR-194-3p	0.203226842529894
rno-miR-493-3p	0.200968167957292
rno-miR-873-3p	0.200848260424937
rno-miR-181a-5p	-0.200298270917685
rno-miR-30a-3p	0.200064448559173
rno-miR-1-3p	0.19953131468845
rno-miR-3571	0.198140967909604
rno-miR-488-5p	0.196765837706809
rno-miR-665	-0.194178657559491
rno-miR-151-3p	0.192123201275637
rno-miR-99b-5p	0.191700114796792
rno-miR-145-5p	0.188415714843273
rno-miR-30e-3p	0.187221457181206
rno-miR-148a-5p	0.185503301786515
rno-miR-452-5p	0.185261216184951
rno-miR-301a-3p	-0.184439030704488
rno-miR-137-3p	-0.183645841514089
rno-miR-125a-5p	-0.183067408666986
rno-miR-192-5p	0.180722886342037
rno-miR-370-5p	0.179230407193014
rno-miR-377-5p	-0.178700530216231
rno-miR-100-3p	-0.178510408137923
rno-miR-542-3p	0.177476265089743
rno-miR-184	-0.1724613763815
rno-miR-219a-2-3p	-0.172381507763525
rno-miR-219b	-0.172166372716983
novel_545	0.171595217557734
rno-miR-219a-5p	-0.170417160786654
rno-miR-344a-3p	-0.169483922734736
rno-miR-200c-3p	-0.169158944609292
rno-miR-298-5p	-0.168114868784786
rno-miR-190a-5p	-0.163890387767145
rno-miR-3542	-0.163522713683546
rno-miR-203b-3p	0.161352143572278
rno-miR-1843b-3p	0.160582777456304
rno-miR-543-5p	-0.157341431791762
rno-miR-3065-5p	-0.157102567372776
rno-miR-338-3p	-0.157088357978999
rno-miR-6331	0.15609656299546
rno-miR-135b-3p	0.156001545349161
rno-miR-370-3p	0.155349106706863
rno-miR-466c-5p	-0.154335109605234
rno-miR-25-5p	-0.154141302640105
rno-miR-17-5p	-0.154059470233193
rno-miR-181b-5p	-0.15313007359873
rno-miR-298-3p	-0.151115661375365
rno-miR-203a-5p	0.151098772563429
novel_946	-0.150537841804129
rno-miR-3473	-0.149496383197382
rno-miR-708-3p	0.147737027722853
rno-miR-3065-3p	-0.147243212884224
rno-miR-582-5p	-0.14693353279614
rno-miR-338-5p	-0.144680560954816
rno-miR-30e-5p	-0.144337118572757
rno-miR-760-3p	0.143908372931456
rno-miR-29a-3p	-0.143890820706822
rno-miR-412-3p	0.143568071906473
rno-miR-384-3p	-0.14336738220776
novel_154	0.141320468725057
rno-miR-135a-5p	-0.141263973371787
rno-miR-101a-3p	0.140097725127625
rno-miR-28-3p	0.138095645618376
rno-miR-412-5p	0.13800064248975
rno-miR-345-5p	0.13644223601795
rno-miR-212-3p	0.136169027581099
rno-miR-362-5p	-0.135424550122688
rno-miR-539-3p	-0.134374888190228
rno-miR-369-3p	-0.133425797251972
rno-miR-344b-3p	-0.131887124945595
rno-miR-190b-5p	-0.131667619886713
rno-miR-322-3p	0.130529093955902
rno-miR-33-5p	-0.129836047547521
rno-miR-674-5p	-0.129193562601108
rno-miR-676	0.126672246745384
rno-miR-6329	0.125321264528367
rno-miR-342-5p	-0.123928253938982
rno-miR-29b-5p	-0.123903834454573
rno-miR-383-5p	-0.12200030985357
rno-miR-135b-5p	-0.120867503913853
rno-miR-130a-3p	0.119688210152018
rno-miR-3590-5p	0.119688210152018
rno-miR-3549	-0.119630839501562
rno-miR-23b-5p	-0.11943500093725
rno-miR-3596d	0.119174911242787
rno-miR-140-5p	-0.118923146045216
rno-miR-99a-3p	-0.118470724038361
rno-miR-551b-3p	-0.118301646512631
rno-let-7f-5p	0.118090668674366
rno-miR-494-3p	-0.117313513547417
rno-miR-331-3p	0.117198442423952
rno-miR-376b-3p	-0.116884275039096
rno-miR-770-3p	0.116591113151051
rno-miR-193b-3p	0.11616707854896
rno-miR-92b-3p	0.115469431801849
rno-miR-139-3p	0.115441349327577
rno-miR-455-3p	0.115114881244631
rno-miR-16-5p	-0.11495450306346
rno-miR-592	-0.114548264528317
rno-let-7c-1-3p	-0.114431594962594
rno-miR-873-5p	0.113398000572413
rno-miR-31b	0.112459021065446
rno-miR-187-5p	0.112336897106557
rno-miR-24-1-5p	-0.11185831313273
rno-miR-30c-2-3p	0.111432920495149
rno-miR-350	0.110651773938436
rno-miR-3074	-0.110230159949777
novel_230	-0.109571895910095
